content/language,content/application_id,content/version,content/date,content/rating,content/title,content/body,content/body_length,content/id,content/author/name,content/author/photo,content/author/profile,content/response/body,content/response/date,content/sort_score/most_useful,content/sort_score/most_recent
en,com.wsl.noom,10.46.0,2022-12-26T18:30:53Z,1,,"The actual nutrition course is really nice and well put together. But all the other features are pretty bland and just worse versions of other apps. The food logger isn't particularly good, and there's no way to connect to a better one. Or more than 1 device. You can pretty much connect a watch and that's it. It gets advertised with some sort of assistance (coach?), but it's a bot that just breaks down the meal entries. If I could, I'd give them negative stars for customer service.",486,3ed7e97a-858d-4525-a091-1cc936e5065c,yodi mutty,https://play-lh.googleusercontent.com/a-/AD5-WCml5bDuq6GfNVcfom4-Stn-bOi50tKfoOwV7y8wnA,,"Thanks for providing your honest feedback, Yodi, it truly helps us improve. Please reach out to us at GPSreviews@noom.com if we can help you with anything!
",2022-12-25T20:40:52Z,1672939011,1672617869
en,com.wsl.noom,10.45.3,2022-12-12T00:17:44Z,2,,"The app itself isn't bad. The program is fine. But they make it INCREDIBLY difficult to cancel, you have to pay for 8month or a year subscription since they make it impossible to select a monthly option. And now my account is in overdraft while I wait for a refund I had to practically beg for, because I didn't cancel the trial in time. I asked to cancel for over a week before they took the money out, and they still ended up taking it!! Use at your own risk!!!",463,fcdd46a5-6e97-47c8-8a9b-195be35da40d,Faedra Bariring,https://play-lh.googleusercontent.com/a-/AD5-WCmBzg5SoFkWJ3v6nQUwdD-wxZggcgw2h-VlQObaDA,,"Thank you again for taking the time to give us your feedback about your Noom experience, Faedra, and we apologize for the troubles you have experienced with Noom. Our Support Team would love to help you and can be reached at GPSreviews@noom.com.
",2022-12-12T00:25:02Z,1672939010,1671450974
en,com.wsl.noom,10.46.0,2022-12-28T11:23:44Z,4,,"The program itself is really good. Resets your outlook on nutrition a bit & helps make slow but effective lifestyle changes. I've dropped almost 40 pounds in less than a year & still ticking down just due to paying attention to what you're eating. Can still have goodies & enjoy eating out, it just helps you to be more conscious about it. The app is pretty good, but some of the features flake out. The groups I didn't use much & disappeared as did the ""coach"". Maybe a tad pricey, but effective.",497,a3ccb856-7580-4687-a9f1-642fa44e2a18,Chris Santangelo,https://play-lh.googleusercontent.com/a-/AD5-WClXgu84bVrC8pFOLX7EV9KSUnIrzUHJqqNGe98tzGw,,"We love to hear this awesome feedback, Chris! Congratulations on the amazing weight loss so far! We're so happy to help you achieve your goals and wish you more success to come!",2022-12-28T11:31:41Z,1672939009,1672617888
en,com.wsl.noom,10.45.3,2022-12-20T22:19:49Z,3,,"It's great overall, but the reason I gave it 3 out of 5 stars is because the app frequently crashes for me, especially when I am entering meals. I have the drive to work on the program and would like to keep up with logging, but when the app constantly crashes when you are filling out information, it definitely starts to demotivate you. Hope this can get fixed soon!",368,e98cd9a9-f50e-490e-ba7a-2fcae006aaf4,Vishwa Raval,https://play-lh.googleusercontent.com/a/AEdFTp755FQslRe5ta-dPjlaFxc-plbqDrbclZLH-TkZHA,,"We appreciate your patience as we work to make Noom the best it can be, Vishwa! Remember, you can always reach us at GPSreviews@noom.com!",2022-12-20T22:25:37Z,1672939008,1672450845
en,com.wsl.noom,10.45.3,2022-12-11T07:19:10Z,1,,"I wish this app worked better. I really love how helpful the program has been, but my stats and goals keep resetting and it often doesn't load. You would think with how much they ask for the premium version the app would perform better. The constant crashes and technical issues have gotten in the way of my weight loss routines and I don't think I want to pay them anything until the app works. Very disappointed.",414,8156d8f7-6fb1-4d13-955a-12306d47ae17,Bridget Canning,https://play-lh.googleusercontent.com/a-/AD5-WCkZhhYXHJ6NL56fAh9ofMbk7tuap66BkHRB66mQ1g,,"We're so happy to hear you love Noom and find the program helpful, Bridget. Our priority is to ensure that you have an ideal experience, always, and we are sad to hear that we have fallen short. Please let us know how we can make things right by sending us a quick message at GPSreviews@noom.com. We'll do all we can to help.",2022-12-11T10:47:48Z,1672939007,1671450962
en,com.wsl.noom,10.46.0,2022-12-24T10:56:20Z,4,,"I learned a lot about what foods tend to put on weight but I could design my own diet using that information. I also learned to deal with rating triggers. As time went on my program constantly froze or wouldn't load at all. I checked for updates and always updated if there was one , and reported it but never got any tech contact back. Finally, on the advice of my guide, I uninstalled and reinstalled, lost no data, and was okay. Saying this in case anyone else has the same problems.",486,ab4e5958-c148-4aa6-8736-59f2f42e505e,Pris Campbell,https://play-lh.googleusercontent.com/a-/AD5-WCmDautKToNqf1KmsVhjsbw-ysIHKpW9Wk3ONQYCPw,,"We know how frustrating tech issues can be, Pris, and we'd love to help, especially because you were learning so much from Noom! We're always available at GPSreviews@noom.com if you need anything.",2022-08-30T09:48:14Z,1672939006,1672585939
en,com.wsl.noom,10.46.0,2023-01-03T06:13:37Z,3,,"I did the $10 week trial, it seems pretty engaging and fairly informative. It's biggest downfall is that it gives you an estimated time to drop weight and then shows you all of these extra learning tools you can add on to the price. Mine was a 9 month plan, that with extra learning stuff would come up to about $200. You pay when you commit and that money is gone. Meanwhile if you go to cancel they offer a no commitment plan for $19 a month. If they started with that more people might commit.",496,25a35f22-9b0c-4a11-8d27-a16a9464fa63,Chemclskinz,https://play-lh.googleusercontent.com/a/AEdFTp69F7isNdDEi7KZaPzhpwGEt6AGkzNfTbCb6UIj,,We appreciate your feedback and we're so glad that you enjoyed Noom's approach overall. We're always available at GPSreviews@noom.com if you need anything at all.,2023-01-03T06:19:24Z,1672939005,1672921059
en,com.wsl.noom,10.45.3,2022-12-18T16:44:44Z,1,,"After no more than a few weeks, I stopped using the app, frustrated that the nutrition info was often inaccurate, the lessons tedious, and my relationship with food worsening. However, the worst part is the subscription model. After not using the app for months, I was charged to auto-renew with no warning or reminder email in sight. When I requested a refund the very same day I was charged, I was told a refund is only possible for the trial service.",453,f5bba9a3-9e7b-46ed-b23a-539142575953,Abigail Stubbington,https://play-lh.googleusercontent.com/a/AEdFTp5JrAhZtvllXE7SuD_fok3osc_AFeGNEEYP3yLX,,"Abigail, we appreciate you taking the time to share your feedback here. Our team would like to look into this for you and help in any way that we can! Can you please reach out to us at GPSreviews@noom.com?",2022-12-18T16:51:09Z,1672939004,1672237883
en,com.wsl.noom,10.46.0,2023-01-02T13:44:46Z,5,,"My trial experience with Noom has been amazing. I was initially offered the six months Premium subscription once my trial subscription ended. The cost was $51.94. But, than I received a new email for charged $151.79 for the same six month program. Due the payment issue is the only reason I would not join Noom. Otherwise the concept is on point. I truly understand how and why they can and will help so many people. They just need to stick to their quote.",456,9e863b90-8204-46f2-a18e-62099efb8674,Blkbudafly63,https://play-lh.googleusercontent.com/a-/AD5-WClqqAB3TM1rEFX_buhiKlC7jER5rzl6uAghEsmf3g4,,"We're so glad that you're enjoying our program, and we really appreciate your feedback regarding what you'd like to see improved. Remember, you can always reach us at GPSreviews@noom.com if you need anything!",2023-01-02T13:54:47Z,1672939003,1672921044
en,com.wsl.noom,10.45.3,2022-12-20T21:38:39Z,1,,"The app hasn't worked well in the last few months. It is incredibly slow, it crashes and it does not allow you to log your exercise. They just keep telling you to uninstall and reinstall it. I am disappointed with my Noom experience in the last few months. Before the app stopped performing, the program was great! I hope they get it fixed so people can benefit from the program.",379,ae1df4c1-0779-44a6-8839-a42fd5c35878,Kit Johnson,https://play-lh.googleusercontent.com/a/AEdFTp4jPouCph0OwlbnitAsQSoUFtMOmUNXwjA8LyYv,,"We appreciate all of your feedback, Kit! It helps Noom improve where available. You can reach us anytime at GPSreviews@noom.com if you need anything at all!",2022-12-20T21:45:24Z,1672939002,1672450844
