content/country,content/application_id,content/date,content/rating,content/title,content/body,content/body_length,content/vote_count,content/vote_sum,content/is_edited,content/id,content/author/name,content/author/type,content/author/id,content/response/date,content/response/id,content/response/body,content/sort_score/most_positive,content/sort_score/most_recent,content/sort_score/most_useful,content/sort_score/most_critical
us,634598719,2022-08-30T13:57:19Z,5,So far so good,"I’ve been with Noom for a month now and I’m really enjoying the platform. The information they give you is broken down into easily digestible groups, their approach to weight loss is different than anything I’ve tried before. There is the calorie tracking element, water intake tracking, steps taken, all that stuff but, it’s more there for you to see how you are progressing instead of being drilled into your head that you have to do all those things without fail everyday to see success. I’m down 10 pounds as of this morning and I’m very pleased with that. I haven’t been hungry all the time like some programs, I can tell I’m making some better choices when packing my lunch and going grocery shopping following their guidelines. I’ve even found some healthier alternatives to certain things I would usually eat that still satisfy my craving without blowing my calorie budget or feeling guilty. I also enjoy the social aspect of the app, after your first few days you get to meet your team, which is compromised of other users and your group coach. It’s nice to be able to bounce concerns, frustrations and victories off each other and the group coach posts helpful suggestions and tips to work past plateaus and get you to the next level. Overall, I would recommend trying this company if you have some weight you’d like to shed without starving yourself or just eating cabbage & onion soup all day, everyday 😂",1416,13,9,false,9034153162,Black_widow85,Customers,361803662,2022-09-01T00:53:58+00:00,31775372,We're so happy to hear how much you've been enjoying your experience! Thanks so much for being a part of our Noomily.,1666205310,1663268048,1672890774,
us,634598719,2022-07-08T23:29:01Z,5,Bad relationship with food,"I have spent years thinking in terms of labels (bad foods) (good foods).  I would literally get up every day and think obsessively about food and wonder, how do I not eat bad today and of coarse by afternoon and evening I was storm eating and I thought I was going to have to give up my beloved pinocle parties that go on 3 days a week because of all the sugary treats that are everywhere on card day, now I plan for those, even allowing myself to have 2 Hershey miniatures and my coffee with cream.  I have embraced breakfast which I had stopped eating because I hoped it would keep my overall calories down and all it did was make me hungrier for the afternoons.  I have not lost much weight, but I get to go to bed without feeling like a failure, imagine going to bed every night so upset and so sick from overeating day after day week after week, I haven’t told many people but I was starting to wish I would just die and get it over with, I’m free right now and loving my new friend food, food of all sorts, even those I once considered evil and bad and finally the weight gaining has stopped and I have even lost a little in the past month, I can’t describe the gratitude for a friend who did it before me and when online one day I accidentally stumbled on an advertisement, asked my sweetheart if I could spend the money to try it and bless his heart after so many books and money spent he didn’t hesitate to say yes and here I am.",1438,31,24,false,8854671675,noomber one,Customers,1226096965,2022-07-10T10:04:24+00:00,30808523,Way to go! That was amazing to read. We're so happy to hear Noom has changed your relationship with food and made you mindful of your eating habits. Keep up the awesome work building healthier habits with your Noom family!,1661444744,1659179226,1672890773,
us,634598719,2022-10-08T23:37:24Z,5,Fascinating.,"I’ve been using this app for 5 months, and I thought I would get frustrated recording my meals every day knowing that I didn’t have full intentions to diet. Somewhere between the daily lessons and recording my weight daily, the way that I looked at food did actually change. The knowledge was in the back of my mind as I would roughly measure out serving sizes for a meal without much thought or effort. I gained weight for awhile after downloading, as initially I was just recording and not actually changing anything I normally did. The changes started to happen subtly and semi-automatically as I logged in every day, completing the lessons, recording my meals, and connecting my Fitbit to keep score of my daily steps. After a peak of 7 lbs gained while going through the program, I began to lose steadily. My highest recorded weight has been around 173 lbs. since joining Noom, and I am now at my lowest of 156 lbs. today. I decided to finally share a review, as the app creators deserve some credit after a 17 lb. loss, regardless of fluctuations throughout. With more effort and commitment than I have had, I’m sure others could lose the weight quicker. Either way, if you’re looking to lose weight in a sustainable way - this is a good app to have in your arsenal. (For further behavioral changes you wish to make that may or may not be weight loss related, I have found that “Fabulous” is an excellent app to supplement your Noom usage.)",1446,0,0,false,9165251057,Jynx.237,Customers,1452499273,2022-10-10T09:26:21+00:00,32479834,We are so proud of your awesome progress! Thanks so much for taking the time to share your review and experience with us!,1669857730,1667254739,1672890772,
us,634598719,2021-03-09T18:02:39Z,5,Noom,"I’ve been using Noom for about a month. I eat mostly the same whole foods over and over so it is ridiculously easy for me to log my food which tracks my calories and shows me how many I have left and how much of it was veg etc. I enjoy the brief articles and their humor, they are a little goofy which is fun and the info is very simple and succinct and often interactive, gently psychological. After the first week or so of more interaction with her my goal specialist now checks in with me about once a week and asks me questions which help me think about things and stay engaged in my health journey. The team community coach posts a discussion topic I think every weekday and our little group of Noomers respond, like, and comment on each other’s posts. I think there’s a way to private message people but I haven’t needed to. I really look forward to the topics and people’s thoughts. I have lost a couple of pounds so far, which is great because what led me to do this was that I was slowly gaining and gaining! I’m enjoying Noom very much. I had a 2 week free intro and then figured it was worth another month. So far I think it has been worth the price, so I will probably continue for a while. I feel like I’m slowly making a shift to a person who will be thin. Other people are losing much faster because they are working out a lot, which I have not been, but Noom keeps me moving in the right direction. Little by little.",1432,198,145,false,7084057214,LizS1,Customers,247813865,,,,1616251941,1615775607,1672890771,
us,634598719,2021-05-08T16:17:49Z,5,Just Do It!,"I have never, ever written any kind of review before. But this program is life changing, so I had to! If you’re having doubts about trying “yet another weight loss program that probably won’t work,” stop doubting and just sign up! Noom is everything you hoped all those other programs claimed to be, and so much more! My husband and I have tried other “diets,” and after struggling with hunger pangs, finding the ingredients for, and cooking crazy, bland meals , we are so excited to find a program that is doable and easy to follow. Just like you, I had my doubts, but when my husband lost 10lbs, something he had never succeeded in doing on any other diet, I had to give it a try. I’m less than 5 weeks in and have lost 10lbs. I feel so much better about myself. I’m eating far more healthfully, and I’m shocked that I don’t crave all the junk I used to eat. I do treat myself at the end of almost every day, but I check to see if it’s in my calorie budget first. Instead of handfuls of mini Cadbury chocolate eggs. I’ll have a serving, which is 9. I savor each one and feel completely satisfied. I know you probably don’t believe me, and that’s okay. I only believe me because I live it! I’d like to tell everyone to sign up for this program, whether you need to lose weight or not! You will become your best healthful self. I hope I’ve convinced you, and wish you every success! And to my husband, I am forever grateful!",1424,56,39,false,7313436293,Jules- Just Do It!,Customers,1278308125,,,,1621596391,1620994346,1672890770,
us,634598719,2021-06-10T11:39:19Z,5,Noom changed me for the best me ever,I heard about Noom from a friend and then seen lots of commercials on tv. I just started a new job and knew that my old routine was going away. My life was going great and then I decided what the heck go big or go home. I added Noom a week after I started my new job about 2 and 1/2 months ago. I am down 15 pounds and I feel amazing. I always hated the word diet and I have to say this really is not a diet. I don’t have to get rid of the stuff I love to get healthy. This app has taught me so much from being mindful of everything. I love that it teaches you so much and how to make the best decisions that work for you! The only recommendation I would have for Noom is consider having a call with your new members to show them how to best navigate through the app. I know that if I had something like that in the beginning it would of helped start my journey much more smoothly! I can seen that would be a reason someone doesn’t stick with the app if they are not as motivated. You really have a life changing solution however not everyone is tech savvy and may get discouraged if they don’t figure it out! That is a true shame as my life has changed for the best me ever and everyone looking for that deserves it. Don’t let your members get frustrated early then your program will end up being something everyone uses! Thank you so much for what you have done for me 🙂,1372,10,9,false,7448344290,MaggieSzczy,Customers,1298306020,,,,1624449556,1623939348,1672890769,
us,634598719,2021-01-18T04:08:10Z,5,Great program!,"I’m just finishing my second week and despite taking it slow, I’m noticing a difference!  I’ve been carrying the extra weight from my youngest for the past 5 years now.  And the pandemic just added to it.  As well as now I have a work at home job on my computer all day!  It’s not exactly a recipe for success!  I knew I needed a change.  I knew I wasn’t gonna just do what I needed to do on my own.  I started to look into the Noom app and liked what I saw.  I committed to 6 months, and after 2 weeks I’m glad I did.  Paying for the program adds motivation to keep it up, but I’m seeing it working too!  Two weeks in and I’ve lost 3lbs!  Not much, but considering the first week I just kept track of what I ate and didn’t cut the calories like I was supposed to, I’m doing well!  Taking slow.  First week made me mindful of what and how much I was eating.  Second week I actually committed to the meal plan.  I stayed within my calories, and I’m not starving!  I plan for regular intervals for meals/snacks, and I’m making sure to have healthy options around.  I still have a ways to go.  I’m not even exercising yet!  But I’m already seeing this working!  Only thing I might suggest is a full list of foods and where they rank and where they fit on the meal plan.  So we have something to reference, and maybe get ideas from.  Otherwise I’m happy with the program and the app!",1379,7,6,false,6883071826,Armygirl1715,Customers,121105017,2021-01-19T07:23:56+00:00,20494642,"Your motivation and commitment are inspiring, and we're so happy that you're finding success with Noom! We also love that you're having fun and gaining tools to use towards creating a healthier lifestyle! Keep up the great work!",1611804069,1611460594,1672890768,
us,634598719,2021-09-09T15:02:06Z,4,"I love noom, pls make better","Noom has changed my life, period. I an 21 years old and i have been very set in my binge eating ways. going years of basically starving myself to lose weight and then binging and gaining 30 pounds. My relationship with food has changed and i still feel satusfied without the self hatred,
in fact i love my body now, not because ive lost a lot of weight, but im happy with how im treating myself. ive tried weight watchers, diets, everything imaginable but ive found something that actually motivates and has me WANTING to go out and get extra steps or skip dining out because i know it wont fit in my calorie budget. if you knew me, you’d understand how impossible that was. good habits are not somethjng ive ever had before noom. yes, the lessons can be obvious, but they are things you need to hear to remind you of what your goal is. my BIG thing that Noom needs to change like yesterday: add a journal or a way for us to save our goals! there is so much writing involved in the lessons, writing bad habits, our long term goals, etc., and noom doesnt save any of it! i didnt realize this was the case until i was 2 weeks in and wanted to look at what i had written, which was a lot. it had just dissapeared. this seems intuitive and its kind of annoying that they didnt have it available in the first place. there should also be streaks for water goals and step goals but thats minor. noom nerds- we need our goals to be saved in app!!!!",1440,5,4,false,7788021564,Sophia Gir,Customers,127730560,,,,,1632043157,1672890767,
us,634598719,2021-11-02T18:20:08Z,5,"Great Progress, Only One Request","I have heard about Noom many times, and never gave it a second thought. However, I went to try on some of the clothes in my closet, and was disappointed when they didn’t fit, and was tired of ALWAYS being disappointed that nothing fits. Furthermore, I just had my third baby six months ago and have made no progress in losing the weight I need to lose to be healthy. So I decided to pay for the subscription, and I love it. I’ve only been using it for a week but I have already caught myself applying knowledge from the behavior chain to keep myself from snacking when I’m not hungry - which made me super excited, because I had the power to say no without being sad. I said no not because I was depriving myself, but because I was not hungry, and did not (do not) want to allow environmental factors to drive my eating habits. 

The one thing that I wish Noom would expand on is data from other apps. I have synced my smart watch to log my activity for me, but I wish I could sync the data from My Fitness Pal for my food dairy. I have been using My Fitness Pal for many years and my food database is not only extensive, but I create all of my own food items based on weight, so I know exactly how many calories I’m eating. I’d like to sync Noom and My Fitness Pal so I don’t have to go through the process of building my food database with zoom.",1347,1,1,false,7981838568,K.Bernadac,Customers,681013772,2021-11-03T23:57:17+00:00,26067897,We love hearing that you're already enjoying your program and we really appreciate your feedback regarding what you'd like to see improved! Remember - you can always reach us at ASreviews@noom.com if you need anything. We hope your experience is excellent and if you ever need us we are always here to help!,1639130349,1637232250,1672890766,
us,634598719,2022-10-06T14:35:01Z,5,Great adventure,"I am a retired teacher who has tried to lose weight to be healthy. I did a liquid diet that was medically supervised and had support groups. I lost the weight but gained it all back when we started on real food. So I have started Noom and have enjoyed it from the first day. I looked forward to the daily readings. It is changing how I label food and what I eat. No good or bad foods. My grocery shopping has changed with a lot more time spent in the produce section and whole foods. It feels wonderful to be gaining the knowledge of what are the healthiest choices to make. The daily recording of meals is so easy on the app  it keeps me focused on planning my calories and meals. 
The counselors I have are so supportive and knowledgeable. No, the weight isn’t dropping off like the restrictive diet I did before. Instead I’m loosing at a healthy rate of 1.5 to 2 pounds a week. My one on one counselor knows just what to tell me to keep me focused and avoid the hurdles I place on my journey. 
As I said before, I look forward to each day with Noom. It has given me a positive outlook. It isn’t a diet. It is changing my outlook. I’ve stopped saying “I wish” and started saying “I will”.  Setting goals and not restrictions. I believe success is my only option with Noom. 
Thanks Noom, for giving me this support to make these changes. I know the success depends on me and how throughly I use the Noom program.",1413,1,0,false,9157262355,shortwriter,Customers,444693609,2022-10-07T23:53:49+00:00,32450667,"Thanks for providing your honest feedback, it truly helps us improve. Please reach out to us at ASreviews@noom.com if we can help you with anything!",1669618595,1666953539,1672890765,
